title,text,star,tags,air,rule
自己紹介,まずは簡単な挨拶,3,初対面;定番,はじめまして,once_per_person
名前の由来,スプラネームの由来ってなんですか？,3,初対面;定番,はじめまして,once_per_person
スプラデビューの時期,スプラデビューは初代(Wii U)から？それとも2や3からデビューですか？,3,初対面;定番,はじめまして,once_per_person
持ちブキ,持ちブキはなんですか？,3,初対面;定番,はじめまして,once_per_person
好きな(得意な)ルール,好きな(得意な)ルールってなんですか？,3,初対面;定番,はじめまして,once_per_person
好きな(得意な)ステージ,好きな(得意な)ステージってなんですか？,3,初対面;定番,はじめまして,once_per_person
コーデ派？機能派？,ギアはコーデして作ってます？それとも機能重視？,3,雑談;ギア,雑談,once_per_person
お気に入りギア,気に入ってるギアとかってあります？,3,雑談;ギア,雑談,once_per_person
コントローラ感度,感度ってどのくらいに設定してますか？,3,雑談;プレイスタイル,雑談,once_per_person
プロコン派？ジョイコン派？,プロコン派？ジョイコン派？サードパーティコン？とか？,3,雑談;プレイスタイル,雑談,once_per_person
Switch2買えた？,Switch2買えました？,3,雑談;,雑談,once_per_person
思い出のベストフェス,今まで一番楽しかった・テーマが熱かったフェスって何ですか？,3,雑談;,雑談,once_per_person
プレイスタイル,塗りとキルどっちが好きですか？,3,雑談;プレイスタイル,雑談,once_per_person
打開と抑え,打開と抑えどっちが好き(苦手)ですか？,3,雑談;プレイスタイル,雑談,once_per_person
苦手なブキ,相手にすると苦手なブキ派ありますか？,3,雑談;ブキ,雑談,once_per_person
休日の過ごし方,休みの日ってなにして過ごします？,3,雑談;メタ,メタ,once_per_person
仕事は？,(差し支えなければ)何系のお仕事されてるとか聞いてもいいですか？,3,雑談;メタ;仕事,メタ,once_per_person
無言いじり,今みんな何喋ろうか探ってる時間笑,3,スプラ;共感,無言時,session_graveyard
定時上がり,今日定時で帰れました？,3,雑談;メタ;仕事,メタ,session_graveyard
いったん別ルール,あかん、一旦ナワバリ(サモラン)挟みますか！笑,3,空気変え;ネタ,連敗中,session_graveyard
いったんブキチェンジ,いったんブキ変えてこの流れ変えますわ！,3,空気変え;ネタ,連敗中,session_graveyard
死にすぎた,生存重視ってモニタにマジックで書いときますわ,3,自虐;ネタ;,戦犯したとき,session_graveyard
プレイ時間帯,普段は何時くらいにプレイしているんですか？,3,初対面;定番,はじめまして,once_per_person
好きなスペシャル,好きなスペシャルってありますか？,3,初対面;定番,はじめまして,once_per_person
苦手なルール,苦手なルールってありますか？,3,初対面;定番,はじめまして,once_per_person
ハマってる他ゲー,スプラ以外にハマってるゲームってありますか？,3,初対面;定番,はじめまして,once_per_person
好きなサブ,好きなサブってありますか？,3,雑談;ブキ,雑談,once_per_person
一番使ってないブキ,今一番使ってないブキってなんですか？,3,雑談;ブキ,雑談,once_per_person
TV派？モニタ派？,TVとモニタどっちでやってます？携帯モードとか？,3,雑談;プレイスタイル,雑談,once_per_person
フェス好き？,フェスってえいえんまでプレイします？,3,雑談;フェス,雑談,once_per_person
味方に来ると嬉しいブキ,味方に来ると嬉しいブキってありますか？,3,雑談;ブキ,雑談,once_per_person
飲酒トゥーン,飲酒トゥーンとかってやります？,3,雑談;飲酒,雑談,once_per_person
おすすめのギア,このブキ(今使ってるブキ)ってなんのギアがおすすめですか？,3,雑談;ブキ,雑談,once_per_person
好きな配信者,好きな(おすすめの)配信者とかっています？,3,雑談;,雑談,once_per_person
好きなアーティスト,好きなアーティストとかっています？,3,雑談;,雑談,once_per_person
ロッカー,ロッカーってこだわったりしてます？見てもいい？,3,雑談;,雑談,once_per_person
スプラ夜ふかし選手権,スプラでMax何時までプレイしたことありますか？,3,雑談;,雑談,once_per_person
ジャイロ派？スティック派？,ジャイロ派？スティック派？,3,雑談;,雑談,once_per_person
サモラン派？バンカラ派？,オプマとかサモラン、Xマッチとか何をプレイするのが多いですか？,3,雑談;,雑談,once_per_person
私の◯◯、弱すぎ…！？,うわっ…私の◯◯、弱すぎ…？,3,自虐;ネタ,戦犯したとき,session_graveyard
いったんブキ統一,え、いったん皆で◯◯持ってみます？笑,3,空気変え;ネタ,連敗中,session_graveyard
逆に何連敗いける？,逆にどこまでいけるのか！？勝ったら負けまである笑,3,空気変え;ネタ,連敗中,session_graveyard
負けても楽しい,負けまくってるのにすみません、ナカマとやると楽しい笑,3,空気変え;,連敗中,session_graveyard
スプリンクラーでやられた,ヤバい、今ならスプリンクラーに負けるまである,3,空気変え;ネタ,連敗中,session_graveyard
好きなお酒,よく飲むとか好きなお酒とかってありますか？,3,雑談;飲酒,飲酒トゥーン,
おすすめのお酒,なにかおすすめのお酒とかってありますか？,3,雑談;飲酒,飲酒トゥーン,
最近おいしかったお酒,最近おいしかったお酒ってなんですか？,3,雑談;飲酒,飲酒トゥーン,
,,3,,,
